,Country,Continent,Population,Main Language Family,Official Languages,Semi-Official Languages,Main Languages,Indo-European Languages,Sino-Tibetan Languages,Niger-Congo Languages,Afro-Asiatic Languages,Austronesian Languages,Dravidian Languages,Turkic Languages,Japonic Languages,Austro-Asiatic Languages,Tai-Kadai Languages,Koreanic Languages,Nilo-Saharan Languages,Uralic Languages,Other Significant Languages,Percent Catholic,Percent Protestant,Percent Orthodox,Percent Muslim,Percent Hindu,Percent Buddhist,Percent Other Religions
0,Afghanistan,Asia,34000000.0,Indo-European,"Persian, Pashto","Uzbek, Turkmen, Balochi, Pashayi, Nuristani, Pamir",Persian,"Persian, Pashto, English, Urdu, Pashayi, Nuristani",,,Arabic,,,"Uzbek, Turkmen",,,,,,,,,,,1.0,,,0.0
1,Albania,Europe,3000000.0,Indo-European,Albanian,,Albanian,"Albanian, Greek",,,,,,,,,,,,,,0.1,,0.07,0.57,,,0.26
2,Algeria,Africa,41000000.0,Afro-Asiatic,"Arabic, Tamazight",,French,French,,,"Arabic, Tamazight",,,,,,,,,,,,,,0.99,,,0.010000000000000009
3,Andorra,Europe,77000.0,Indo-European,Catalan,,Catalan,"Catalan, French, Castilian, Portuguese",,,,,,,,,,,,,,1.0,,,,,,0.0
4,Angola,Africa,29000000.0,Indo-European,Portuguese,,Portuguese,Portuguese,,"Umbundu, Kikongo, Kimbundu, Chokwe, Nhaneca, Nganguela, Fiote, Kwanhama, Muhumbi, Luvale",,,,,,,,,,,,0.41,0.38,,,,,0.20999999999999996
5,Antigua and Barbuda,,95000.0,Indo-European,English,,English Creole,"English, English Creole",,,,,,,,,,,,,,0.08,0.68,,,,,0.24
6,Argentina,South America,44000000.0,Indo-European,Spanish,"Guaraní, Kom, Moquoit, Wichí",Spanish,"Spanish, Italian, English, German, French",,,,,,,,,,,,,"Mapudungun, Quechua, Kom, Moquoit, Wichí",0.92,0.02,,,,,0.05999999999999994
7,Armenia,"Europe, Asia",3000000.0,Indo-European,Armenian,,Armenian,"Armenian, Kurdish",,,,,,,,,,,,,,,0.01,0.93,,,,0.05999999999999994
8,Australia,Australia,23000000.0,Indo-European,,,English,"English, Italian, Greek","Mandarin, Cantonese",,Arabic,,,,,Vietnamese,,,,,,0.23,0.23,0.02,0.03,0.02,0.02,0.44999999999999996
9,Austria,Europe,9000000.0,Indo-European,German,"Serbo-Croatian, Slovenian, Hungarian",German,"German, Serbo-Croatian",,,,,,Turkish,,,,,,,,0.74,0.05,0.02,0.04,,,0.1499999999999999
10,Azerbaijan,"Europe, Asia",10000000.0,Turkic,Azerbaijani,,Azerbaijani,"Azerbaijani, Russian, Armenian",,,,,,,,,,,,,,,,0.03,0.97,,,0.0
11,Bahamas,,330000.0,Indo-European,English,,English Creole,"English, English Creole",,,,,,,,,,,,,,0.12,0.7,,,,,0.18000000000000005
12,Bahrain,,1400000.0,Afro-Asiatic,Arabic,,Arabic,"English, Persian, Urdu",,,Arabic,,,,,,,,,,,0.05,0.05,0.05,0.7,0.1,0.03,0.020000000000000018
13,Bangladesh,Asia,160000000.0,Indo-European,Bengali,,Bengali,Bengali,,,,,,,,,,,,,,,,,0.89,0.1,,0.010000000000000009
14,Barbados,,290000.0,Indo-European,English,,English Creole,"English, English Creole",,,,,,,,,,,,,,0.04,0.66,,,,,0.29999999999999993
15,Belarus,Europe,9500000.0,Indo-European,"Russian, Belarussian",,Russian,"Russian, Belarussian",,,,,,,,,,,,,,0.07,,0.48,,,,0.44999999999999996
16,Belgium,Europe,11000000.0,Indo-European,"Dutch, French, German",,Dutch,"Dutch, French, German",,,,,,,,,,,,,,0.5,0.02,,0.05,,,0.42999999999999994
17,Belize,North America,360000.0,Indo-European,English,,"English, Spanish","English, Spanish, German",,,,,,,,,,,,,"Maya, Garifuna",0.4,0.32,,,,,0.28
18,Benin,Africa,11000000.0,Indo-European,French,,,French,,"Fon, Yoruba",,,,,,,,,,,,0.26,0.14,,0.28,,,0.31999999999999995
19,Bhutan,Asia,760000.0,Sino-Tibetan,Dzongkha,,,,"Sharchhopka, Dzongkha, Lhotshamkha",,,,,,,,,,,,,,,,,,,1.0
20,Bolivia,South America,11000000.0,Indo-European,"Spanish, Quechua, Aymara, Guaraní, Araona, Baure, Bésiro, Canichana, Cavineño, Cayubaba, Chácobo, Chimán, Ese Ejja, Guarasu'we, Guarayu, Itonama, Leco, Machajuyai-Kallawaya, Machineri, Maropa, Mojeño-Ignaciano, Mojeño-Trinitario, Moré, Mosetén, Movima, Pacawara, Puquina, Sirionó, Tacana, Tapieté, Toromona, Uru-Chipaya, Weenhayek, Yaminawa, Yuki, Yuracaré, Zamuco",,Spanish,Spanish,,,,,,,,,,,,,"Quechua, Aymara, Guaraní",0.77,0.08,,,,,0.15000000000000002
21,Bosnia and Herzegovina,Europe,3900000.0,Indo-European,Serbo-Croatian,,Serbo-Croatian,Serbo-Croatian,,,,,,,,,,,,,,0.15,,0.31,0.51,,,0.030000000000000027
22,Botswana,Africa,2200000.0,Indo-European,English,,Tswana,English,,"Tswana, Kalanga, Kgalagadi, Shona, Tsarwa, Mbukushu, isiNdebele",,,,,,,,,,,,0.07,0.72,,,,,0.20999999999999996
23,Brazil,South America,210000000.0,Indo-European,Portuguese,"German, Kashubian, Italian, Nheengatu, Guaraní",Portuguese,"Portuguese, Spanish, German, Italian, English, Kashubian",,,,,,,Japanese,,,,,,"Nheengatu, Baniwa, Tucano, Guaraní",0.65,0.22,,,,,0.13
24,Brunei Darussalam,,440000.00000000006,Austronesian,Malay,,"Malay, English",English,"Mandarin, Minnan, Cantonese, Hakka",,,Malay,,,,,,,,,,,0.09,,0.79,,0.08,0.040000000000000036
25,Bulgaria,Europe,7100000.0,Indo-European,Bulgarian,,Bulgarian,"Bulgarian, Romani",,,,,,Turkish,,,,,,,,,,0.59,0.08,,,0.33000000000000007
26,Burkina Faso,Africa,20000000.0,Indo-European,French,,,French,,,,,,,,,,,,,,0.23,0.07,,0.62,,,0.07999999999999996
27,Burundi,Africa,11000000.0,Niger-Congo,"Kirundi, French, English",,,"French, English",,"Kirundi, Swahili",,,,,,,,,,,,0.62,0.24,,0.03,,,0.10999999999999999
28,Cabo Verde,,560000.0,Indo-European,Portuguese,,Portuguese Creole,"Portuguese, Portuguese Creole",,,,,,,,,,,,,,0.77,0.05,,0.02,,,0.15999999999999992
29,Cambodia,Asia,16000000.0,Austroasiatic,Khmer,,Khmer,,,,,,,,,Khmer,,,,,,,,,0.02,,0.97,0.010000000000000009
30,Cameroon,Africa,25000000.0,Indo-European,"English, French",,,"English, French",,,,,,,,,,,,,,0.38,0.26,,0.21,,,0.15000000000000002
31,Canada,North America,36000000.0,Indo-European,"English, French","Chipewyan, Cree, Gwich'in, Inuinnaqtun, Inukitut, Slavey, Tłįcho",English,"English, French, Punjabi, Italian, Spanish, German",Cantonese,,Arabic,Tagalog,,,,,,,,,"Chipewyan, Cree, Gwich'in, Inuinnaqtun, Inukitut, Slavey, Tłįcho",0.39,0.2,0.02,0.03,0.02,0.01,0.32999999999999985
32,Central African Republic,Africa,5600000.0,Indo-European,French,,Ngbandi Creole,French,,Ngbandi Creole,,,,,,,,,,,,0.25,0.25,,0.15,,,0.35
33,Chad,Africa,12000000.0,Afro-Asiatic,"French, Arabic",,Arabic,French,,,,,,,,,,,Sara,,,0.2,0.24,,0.52,,,0.040000000000000036
34,Chile,South America,18000000.0,Indo-European,Spanish,,Spanish,"Spanish, English",,,,,,,,,,,,,"Mapudungun, Aymara, Quechua, Rapa Nui",0.67,0.16,,,,,0.16999999999999993
35,China,Asia,1400000000.0,Sino-Tibetan,Mandarin,"Zhuang, Yue, Mongolian, Uighur, Kyrgyz, Tibetan",Mandarin,,"Mandarin, Cantonese, Wu, Minbei, Minnan, Xiang, Gan, Hakka",,,,,,,,,,,,,0.01,0.03,,0.02,,0.18,0.76
36,Colombia,South America,48000000.0,Indo-European,Spanish,,Spanish,Spanish,,,,,,,,,,,,,,0.79,0.14,,,,,0.06999999999999995
37,Comoros,,810000.0,Niger-Congo,"Arabic, French, Shikomoro",,Shikomoro,French,,Shikomoro,Arabic,,,,,,,,,,,,,,0.98,,,0.020000000000000018
38,Congo,Africa,5000000.0,Indo-European,French,,,French,,"Lingala, Kikongo",,,,,,,,,,,,0.33,0.2,,0.02,,,0.44999999999999996
39,Costa Rica,North America,4900000.0,Indo-European,,,Spanish,"Spanish, English",,,,,,,,,,,,,,0.76,0.14,,,,,0.09999999999999998
40,Côte D'Ivoire,Africa,24000000.0,Indo-European,French,,French,French,,Dioula,,,,,,,,,,,,0.17,0.14,,0.43,,,0.26
41,Croatia,Europe,4300000.0,Indo-European,Serbo-Croatian,"Hungarian, Czech, Slovak, Ruthenian",Serbo-Croatian,"Serbo-Croatian, Czech, Slovak, Albanian",,,,,,,,,,,,Hungarian,,0.86,,0.04,0.02,,,0.07999999999999996
42,Cuba,,11000000.0,Indo-European,Spanish,,Spanish,Spanish,,,,,,,,,,,,,,0.85,,,,,,0.15000000000000002
43,Cyprus,,1200000.0,Indo-European,"Greek, Turkish",,Greek,"Greek, English, Romanian, Russian, Bulgarian",,,Arabic,Tagalog,,Turkish,,,,,,,,0.03,0.02,0.89,0.02,,0.01,0.029999999999999916
44,Czech Republic,Europe,11000000.0,Indo-European,Czech,,Czech,"Czech, Slovak",,,,,,,,,,,,,,0.1,0.01,,,,,0.89
45,Democratic People's Republic of Korea,Asia,25000000.0,Koreanic,Korean,,Korean,,,,,,,,,,,Korean,,,,,,,,,,1.0
46,Democratic Republic of the Congo,Africa,83000000.0,Indo-European,French,,,French,,"Lingala, Swahili, Kikongo, Tshiluba",,,,,,,,,,,,0.5,0.2,,0.1,,,0.20000000000000007
47,Denmark,Europe,5600000.0,Indo-European,Danish,"Faroese, Greenlandic",Danish,"Danish, Faroese, German",,,,,,,,,,,,,Greenlandic,,0.76,,0.04,,,0.19999999999999996
48,Djibouti,Africa,869999.9999999999,Afro-Asiatic,"French, Arabic",,Somali,French,,,"Arabic, Somali, Afar",,,,,,,,,,,0.02,0.01,0.03,0.94,,,0.0
49,Dominica,,74000.0,Indo-European,English,,"English, French Creole","English, French Creole",,,,,,,,,,,,,,0.61,0.29,,,,,0.10000000000000009
50,Dominican Republic,,11000000.0,Indo-European,Spanish,,Spanish,Spanish,,,,,,,,,,,,,,0.95,,,,,,0.050000000000000044
51,Ecuador,South America,16000000.0,Indo-European,Spanish,"Quechua, Shuar",Spanish,Spanish,,,,,,,,,,,,,"Quechua, Shuar",0.74,0.1,,,,,0.16000000000000003
52,Egypt,"Africa, Asia",97000000.0,Afro-Asiatic,Arabic,,Arabic,,,,Arabic,,,,,,,,,,,,,0.1,0.9,,,0.0
53,El Salvador,North America,6200000.0,Indo-European,Spanish,,Spanish,Spanish,,,,,,,,,,,,,Nawat,0.5,0.36,,,,,0.14
54,Equatorial Guinea,Africa,780000.0,Indo-European,"Spanish, French",,Spanish,"Spanish, French",,"Fang, Bubi",,,,,,,,,,,,0.9,,,,,,0.09999999999999998
55,Eritrea,Africa,5900000.0,Afro-Asiatic,,"Tigrinya, Arabic, English",Tigrinya,English,,,"Tigrinya, Arabic, Tigre, Afar",,,,,,,,Kunama,,,0.05,0.01,0.5,0.43,,,0.010000000000000009
56,Estonia,Europe,1300000.0,Indo-European,Estonian,,Estonian,"Russian, Ukrainian",,,,,,,,,,,,Estonian,,,0.1,0.16,,,,0.74
57,Ethiopia,Africa,110000000.00000001,Afro-Asiatic,,"Amharic, Oromo, Somali, Tigrinya, Afar, Sidamo, Kunama, Berta, Gumuz, Harari",,English,,,"Oromo, Amharic, Somali, Tigrinya, Sidamo, Wolaytta, Gurage, Afar, Hadiyya, Gamo, Gedeo, Kafa, Arabic, Harari",,,,,,,,"Opuuo, Kunama, Berta, Gumuz",,,0.01,0.19,0.44,0.34,,,0.020000000000000018
58,Fiji,,919999.9999999999,Austronesian,"English, Fijian, Hindi",,Fijian,"English, Hindi",,,,Fijian,,,,,,,,,,0.09,0.45,,0.06,0.28,,0.11999999999999988
59,Finland,Europe,5500000.0,Uralic,"Finnish, Swedish",,,"Swedish, Russian",,,,,,,,,,,,Finnish,,,0.72,0.01,,,,0.27
60,"Former Yugoslav Republic of Macedonia, The",Europe,2100000.0,Indo-European,Macedonian,"Albanian, Turkish, Romani, Aromanian, Serbo-Croatian",Macedonian,"Macedonian, Albanian, Romani, Serbo-Croatian",,,,,,Turkish,,,,,,,,,,0.65,0.33,,,0.020000000000000018
61,France,Europe,67000000.0,Indo-European,French,,French,"French, Provencal, Breton, Alsatian, Corsican, Catalan, Flemish",,,,,,,,,,,,,,0.63,,,0.08,,0.01,0.28
62,Gabon,Africa,1800000.0,Indo-European,French,,French,French,,"Fang, Myene, Nzebi, Bapounou, Bandjabi",,,,,,,,,,,,0.42,0.14,,0.06,,,0.3799999999999999
63,Gambia,Africa,2100000.0,Indo-European,English,,,English,,"Mandinka, Wolof, Fula",,,,,,,,,,,,0.02,0.02,,0.96,,,0.0
64,Georgia,"Europe, Asia",4900000.0,Kartvelian,Georgian,Abkhaz,Georgian,"Azerbaijani, Armenian, Russian",,,,,,,,,,,,,"Georgian, Abkhaz",,,0.86,0.11,,,0.030000000000000027
65,Germany,Europe,81000000.0,Indo-European,German,"Danish, Frisian, Sorbian, Romani",German,"German, Danish, Frisian, Sorbian, Romani",,,,,,,,,,,,,,0.29,0.27,0.02,0.04,,,0.3799999999999999
66,Ghana,Africa,27000000.0,Indo-European,English,"Dangme, Dagaare, Dagbani, Ewe, Ga, Gonja, Kasem, Nzema, Akan",,English,,"Akan, Ewe, Fante, Dagbani, Dangme, Dagaare, Konkomba, Ga, Gonja, Kasem, Nzema",,,,,,,,,,,,0.13,0.47,,0.18,,,0.21999999999999997
67,Greece,Europe,11000000.0,Indo-European,Greek,,Greek,"Greek, English, French",,,,,,,,,,,,,,,,0.98,0.01,,,0.010000000000000009
68,Grenada,,110000.00000000001,Indo-European,English,,English Creole,"English, English Creole, French, French Creole",,,,,,,,,,,,,,0.36,0.49,,,,,0.15000000000000002
69,Guatemala,North America,15000000.0,Indo-European,Spanish,,Spanish,Spanish,,,,,,,,,,,,,"Maya, Xinca, Garifuna",0.45,0.42,,,,,0.13
70,Guinea,Africa,12000000.0,Indo-European,French,,French,French,,,,,,,,,,,,,,0.03,0.06,,0.87,,,0.040000000000000036
71,Guinea Bissau,Africa,1800000.0,Indo-European,Portuguese,,Portuguese,Portuguese,,"Fula, Mandinka",,,,,,,,,,,,0.12,0.1,,0.45,,,0.32999999999999996
72,Guyana,South America,740000.0,Indo-European,English,,English Creole,"English, Hindi",Mandarin,,,,,,,,,,,,Arawak,0.07,0.35,,0.07,0.25,,0.26
73,Haiti,,11000000.0,Indo-European,"French, French Creole",,French Creole,"French, French Creole",,,,,,,,,,,,,,0.55,0.29,,,,,0.15999999999999992
74,Honduras,North America,9000000.0,Indo-European,Spanish,"Garifuna, English, Miskito",Spanish,"Spanish, English",,,,,,,,,,,,,"Garifuna, MIskito",0.46,0.41,,,,,0.13
75,Hungary,Europe,9900000.0,Uralic,Hungarian,,Hungarian,"English, German, Russian, Romanian, French, Serbo-Croatian, Slovak, Slovenian",,,,,,,,,,,,Hungarian,,0.39,0.14,,,,,0.47
76,Iceland,,340000.0,Indo-European,Icelandic,,Icelandic,"Icelandic, English, German",,,,,,,,,,,,,,0.04,0.7,,,,,0.26
77,India,Asia,1300000000.0,Indo-European,"Hindi, English","Assamese, Bengali, Bodo, Chhattisgarhi, Dogri, Garo, Gujarati, Kannada, Karbi, Kashmiri, Khasi, Kokborok, Konkani, Lepcha, Maithili, Malayalam, Meitei, Marathi, Mizo, Nepali, Newari, Oriya, Punjabi, Sanskrit, Santali, Sindhi, Sunwar, Tamil, Telugu, Urdu",,"Hindi, Bengali, Marathi, Urdu, Gujarati, Oriya, Punjabi, Assamese, Maithili, English, Kashmiri, Sindhi, Chhattisgarhi, Dogri, Konkani, Nepali, Sanskrit","Bodo, Garo, Karbi, Kokborok, Lepcha, Meitei, Mizo, Newari, Sunwar",,,,"Telugu, Tamil, Kannada, Malayalam",,,"Khasi, Santali",,,,,,0.02,,,0.14,0.8,,0.039999999999999925
78,Indonesia,,260000000.0,Austronesian,Malay,"Javanese, Sundanese",Malay,"English, Dutch",,,,"Malay, Javanese, Sundanese",,,,,,,,,,0.03,0.07,,0.87,0.02,,0.010000000000000009
79,Iran,Asia,82000000.0,Indo-European,Persian,,Persian,"Persian, Kurdish, Gilaki, Mazanderani, Luri, Balochi",,,Arabic,,,,,,,,,,,,,,0.99,,,0.010000000000000009
80,Iraq,Asia,39000000.0,Afro-Asiatic,"Arabic, Kurdish","Turkemen, Syriac, Armenian",Arabic,"Kurdish, Armenian",,,"Arabic, Syriac",,,Turkmen,,,,,,,,,,,0.99,,,0.010000000000000009
81,Ireland,,5000000.0,Indo-European,"English, Gaelic",,English,"English, Gaelic",,,,,,,,,,,,,,0.78,0.03,0.01,0.01,,,0.16999999999999993
82,Israel,Asia,8300000.000000001,Afro-Asiatic,Hebrew,Arabic,Hebrew,English,,,"Hebrew, Arabic",,,,,,,,,,,,,,0.25,,,0.75
83,Italy,Europe,62000000.0,Indo-European,Italian,"French, German, Ladin, Slovenian",Italian,"Italian, German, French, Slovenian, Ladin",,,,,,,,,,,,,,0.8,,,0.02,,,0.17999999999999994
84,Jamaica,,3000000.0,Indo-European,English,,English Creole,"English, English Creole",,,,,,,,,,,,,,0.02,0.65,,,,,0.32999999999999996
85,Japan,,130000000.0,Japonic,,,Japanese,,,,,,,,Japanese,,,,,,,0.01,0.01,,,,0.67,0.30999999999999994
86,Jordan,Asia,10000000.0,Afro-Asiatic,Arabic,,Arabic,English,,,Arabic,,,,,,,,,,,,,0.02,0.97,,,0.010000000000000009
87,Kazakhstan,Asia,19000000.0,Turkic,"Kazakh, Russian",,"Kazakh, Russian",Russian,,,,,,Kazakh,,,,,,,,,,0.26,0.7,,,0.040000000000000036
88,Kenya,Africa,48000000.0,Niger-Congo,"English, Swahili",,"English, Swahili",English,,Swahili,,,,,,,,,,,,0.23,0.48,,0.11,,,0.18000000000000005
89,Kiribati,,110000.00000000001,Indo-European,English,,Gilbertese,English,,,,Gilbertese,,,,,,,,,,0.57,0.33,,,,,0.10000000000000009
90,Kuwait,Asia,2900000.0,Afro-Asiatic,Arabic,,Arabic,English,,,Arabic,,,,,,,,,,,0.06,0.11,,0.77,,,0.06000000000000005
91,Kyrgyzstan,Asia,5800000.0,Turkic,"Kyrgyz, Russian",,Kyrgyz,Russian,,,,,,"Kyrgyz, Uzbek",,,,,,,,,,0.2,0.75,,,0.050000000000000044
92,Lao People's Democratic Republic,Asia,7100000.0,Kra-Dai,Lao,,Lao,"French, English",,,,,,,,,,,,,Lao,0.01,0.01,,,,0.65,0.32999999999999996
93,Latvia,Europe,1900000.0,Indo-European,Latvian,,Latvian,"Latvian, Russian, Polish, Ukrainian, Belarussian",,,,,,,,,,,,,,,0.2,0.15,,,,0.65
94,Lebanon,Asia,6200000.0,Afro-Asiatic,Arabic,,Arabic,"French, English, Armenian",,,Arabic,,,,,,,,,,,0.26,,0.08,0.54,,,0.11999999999999988
95,Lesotho,Africa,2000000.0,Niger-Congo,"Sotho, English",,Sesotho,English,,"Sesotho, Zulu, Xhosa",,,,,,,,,,,,0.4,0.4,,,,,0.19999999999999996
96,Liberia,Africa,4700000.0,Indo-European,English,,,English,,,,,,,,,,,,,,0.07,0.76,,0.12,,,0.04999999999999993
97,Libya,Africa,6700000.0,Afro-Asiatic,Arabic,,Arabic,"Italian, English",,,"Arabic, Nafusi, Ghadamis, Suknah, Awjilah, Tamazight",,,,,,,,,,,0.01,,0.01,0.97,,,0.010000000000000009
